X,Y,CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen,NOMBRE PAR
-58.4991931,-34.59596,SAN MARTIN AV.,"5891",5891 SAN MARTIN AV.,"-58,4991931","-34,59596000","15",AGRONOMIA,"57",I,"78",I,,,,,,,,,SOLANO LOPEZ
-58.4952314,-34.59701,SAN MARTIN AV.,"5514",5514 SAN MARTIN AV.,"-58,4952314","-34,59701000","11",VILLA DEL PARQUE,"57",V,"78",I,"105",,"146",,,,,,ROFFO
-58.4947073,-34.59685,SAN MARTIN AV.,"5471",5471 SAN MARTIN AV.,"-58,4947073","-34,59685000","15",AGRONOMIA,"57",I,"78",I,"105",,"146",,,,,,ROFFO
-58.4914977,-34.59726,SAN MARTIN AV.,"5212",5212 SAN MARTIN AV.,"-58,4914977","-34,59726000","11",VILLA DEL PARQUE,"57",V,"78",I,"105",,"146",,,,,,COMUNICACIONES
-58.4902083,-34.59715,SAN MARTIN AV.,"5133",5133 SAN MARTIN AV.,"-58,4902083","-34,59715000","15",AGRONOMIA,"57",I,"78",I,"105",,"146",,,,,,COMUNICACIONES
-58.4871933,-34.59753,SAN MARTIN AV.,"4934",4934 SAN MARTIN AV.,"-58,4871933","-34,59753000","11",VILLA DEL PARQUE,"57",V,"78",I,"105",,"146",,,,,,2 DE ABRIL
-58.4862062,-34.59745,SAN MARTIN AV.,"4835",4835 SAN MARTIN AV.,"-58,4862062","-34,59745000","15",AGRONOMIA,"57",I,"78",I,"105",,"146",,,,,,2 DE ABRIL
-58.4823396,-34.59803,SAN MARTIN AV.,"4447",4447 SAN MARTIN AV.,"-58,4823396","-34,59803000","15",AGRONOMIA,"57",I,"78",I,"105",,"146",,,,,,AGRONOMIA
-58.4803653,-34.5989382,SAN MARTIN AV.,"4187",4187 SAN MARTIN AV.,"-58,4803653","-34,59893820","15",AGRONOMIA,"47",,"57",I,"78",I,"105",,"146",,,,EMPEDRADO
-58.4704539,-34.60161,SAN MARTIN AV.,"3308",3308 SAN MARTIN AV.,"-58,4704539","-34,60161000","15",PATERNAL,"24",I,"57",V,"105",V,"146",V,,,,,ARGENTINOS JUNIOR
