X,Y,CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen,NOMBRE PAR
-58.465848,-34.6787936,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"5351","5351 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,465848","-34,67879360","8",VILLA LUGANO,"101",,"114",I,"143",I,"150",I,,,,,POLA
-58.4653532,-34.6790183,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"5366","5366 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4653532","-34,67901830","8",VILLA LUGANO,"101",I,"143",V,"114",V,"150",V,,,,,POLA
-58.4720906,-34.6844843,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"6091","6091 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4720906","-34,68448430","8",VILLA LUGANO,"143",I,,,,,,,,,,,LISANDRO DE LA TORRE
-58.4759601,-34.6879868,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"6595","6595 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4759601","-34,68798680","8",VILLA RIACHUELO,"143",I,,,,,,,,,,,PIEDRABUENA
-58.4756197,-34.68798,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"6550","6550 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4756197","-34,68798000","8",VILLA RIACHUELO,"150",V,"143",V,,,,,,,,,PIEDRABUENA
-58.4705,-34.683596,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"5902","5902 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4705","-34,68359600","8",VILLA LUGANO,"143",V,,,,,,,,,,,LISANDRO DE LA TORRE
-58.4603831,-34.68905,CNEL. ROCA AV.,"5821","5821 ROCA, CNEL. AV.","-58,4603831","-34,68905000","8",VILLA RIACHUELO,"115",I,"91",I,,,,,,,,,SOLDADO DE LA FRONTERA
-58.4601368,-34.6891143,CNEL. ROCA AV.,"5788","5788 ROCA, CNEL. AV.","-58,4601368","-34,68911430","8",VILLA RIACHUELO,"47",,"91",,"114",,"117",V,"150",V,"115",,SOLDADO DE LA FRONTERA
-58.46302,-34.69144,CNEL. ROCA AV.,"6083","6083 ROCA, CNEL. AV.","-58,46302","-34,69144000","8",VILLA LUGANO,"47",,"91",,"117",I,"114",,"115",,,,LISANDRO DE LA TORRE
-58.4633791,-34.6922919,CNEL. ROCA AV.,"6120","6120 ROCA, CNEL. AV.","-58,4633791","-34,69229190","8",VILLA RIACHUELO,"47",,"91",,"114",,"115",,"117",I,"150",,LISANDRO DE LA TORRE
-58.4665629,-34.694658,CNEL. ROCA AV.,"6523","6523 ROCA, CNEL. AV.","-58,4665629","-34,69465800","8",VILLA RIACHUELO,"91",,"114",I,"117",I,,,,,,,PIEDRABUENA
-58.4660844,-34.6947539,CNEL. ROCA AV.,"6522","6522 ROCA, CNEL. AV.","-58,4660844","-34,69475390","8",VILLA RIACHUELO,"91",,"101",I,"114",V,"117",V,,,,,PIEDRABUENA
-58.45575,-34.68506,CNEL. ROCA AV.,"5332","5332 ROCA, CNEL. AV.","-58,45575","-34,68506000","8",VILLA RIACHUELO,"91",V,"115",V,,,,,,,,,LARRAZABAL
-58.4559025,-34.68488,CNEL. ROCA AV.,"5331","5331 ROCA, CNEL. AV.","-58,4559025","-34,68488000","8",VILLA LUGANO,"91",I,"115",I,,,,,,,,,LARRAZABAL
-58.4512148,-34.68112,CNEL. ROCA AV.,"4708","4708 ROCA, CNEL. AV.","-58,4512148","-34,68112000","8",VILLA RIACHUELO,"91",V,"115",V,,,,,,,,,ESCALADA
-58.4514805,-34.6809,CNEL. ROCA AV.,"4709","4709 ROCA, CNEL. AV.","-58,4514805","-34,68090000","8",VILLA RIACHUELO,"91",I,"115",I,,,,,,,,,ESCALADA
-58.4485619,-34.6771885,CNEL. ROCA AV.,"4294","4294 ROCA, CNEL. AV.","-58,4485619","-34,67718850","8",VILLA SOLDATI,"91",V,"115",V,,,,,,,,,ESTADIO PARQUE ROCA
-58.4488246,-34.6771938,CNEL. ROCA AV.,"4293","4293 ROCA, CNEL. AV.","-58,4488246","-34,67719380","8",VILLA SOLDATI,"91",I,"115",I,,,,,,,,,ESTADIO PARQUE ROCA
-58.4458619,-34.67279,CNEL. ROCA AV.,"3998","3998 ROCA, CNEL. AV.","-58,4458619","-34,67279000","8",VILLA SOLDATI,"91",V,"115",V,,,,,,,,,PARQUE ROCA
-58.4459613,-34.67263,CNEL. ROCA AV.,"3997","3997 ROCA, CNEL. AV.","-58,4459613","-34,67263000","8",VILLA SOLDATI,"91",I,"115",I,,,,,,,,,PARQUE ROCA
-58.4428233,-34.6689929,CNEL. ROCA AV.,"3558","3558 ROCA, CNEL. AV.","-58,4428233","-34,66899290","8",VILLA SOLDATI,"91",V,"115",V,,,,,,,,,LACARRA
-58.443293,-34.6689401,CNEL. ROCA AV.,"3615","3615 ROCA, CNEL. AV.","-58,443293","-34,66894010","8",VILLA SOLDATI,"91",I,"115",I,,,,,,,,,LACARRA
-58.4405992,-34.66674,CNEL. ROCA AV.,"3390","3390 ROCA, CNEL. AV.","-58,4405992","-34,66674000","8",VILLA SOLDATI,"91",V,"115",V,,,,,,,,,MARIANO ACOSTA
-58.4407493,-34.66666,CNEL. ROCA AV.,"3395","3395 ROCA, CNEL. AV.","-58,4407493","-34,66666000","8",VILLA SOLDATI,"91",I,"115",I,,,,,,,,,MARIANO ACOSTA
-58.4287986,-34.6595907,INTEDENTE FRANCISCO RABANAL AV.,"2299","2299 RABANAL, FRANCISCO, INTENDENTE AV.","-58,4287986","-34,65959070","8",VILLA SOLDATI,"76",I,"91",,"115",,,,,,,,BERG
-58.429415,-34.6601007,INTEDENTE FRANCISCO RABANAL AV.,"2316","2316 RABANAL, FRANCISCO, INTENDENTE AV.","-58,429415","-34,66010070","8",VILLA SOLDATI,"76",V,"91",,"115",,,,,,,,BERG
-58.4330227,-34.6617966,INTEDENTE FRANCISCO RABANAL AV.,"2686","2686 RABANAL, FRANCISCO, INTENDENTE AV.","-58,4330227","-34,66179660","8",VILLA SOLDATI,"91",,"76",V,"115",,,,,,,,VARELA
-58.4341192,-34.6619936,INTEDENTE FRANCISCO RABANAL AV.,"2761","2761 RABANAL, FRANCISCO, INTENDENTE AV.","-58,4341192","-34,66199360","8",VILLA SOLDATI,"76",I,"91",,"115",,,,,,,,VARELA
-58.4372795,-34.66341,INTEDENTE FRANCISCO RABANAL AV.,"2971",2971 RABANAL FRANCISCO INTENDENTE AVE,"-58,4372795","-34,66341000","8",VILLA SOLDATI,"91",I,"115",I,,,,,,,,,LAFUENTE
-58.4376593,-34.6639977,INTEDENTE FRANCISCO RABANAL AV.,"3050","3050 RABANAL, FRANCISCO, INTENDENTE AV.","-58,4376593","-34,66399770","8",VILLA SOLDATI,"76",V,"91",,"115",,,,,,,,LAFUENTE
-58.4690825,-34.54805,CABILDO AV.,"3818",3818 CABILDO AV.,"-58,4690825","-34,54805000","12",SAAVEDRA,"59",V,"60",V,,,,,,,,,MANZANARES
-58.4695874,-34.54742,CABILDO AV.,"3902",3902 CABILDO AV.,"-58,4695874","-34,54742000","12",SAAVEDRA,"161",V,"168",V,"184",V,,,,,,,PAROISSIEN
-58.469734,-34.54723,CABILDO AV.,"3950",3950 CABILDO AV.,"-58,469734","-34,54723000","12",SAAVEDRA,"57",V,"194",V,,,,,,,,,PAROISSIEN
-58.4712807,-34.5450502,CABILDO AV.,"4212",4212 CABILDO AV.,"-58,4712807","-34,54505020","12",SAAVEDRA,"59",V,"60",V,,,,,,,,,RUIZ HUIDOBRO
-58.4715335,-34.5447035,CABILDO AV.,"4280",4280 CABILDO AV.,"-58,4715335","-34,54470350","12",SAAVEDRA,"68",V,"152",V,,,,,,,,,RUIZ HUIDOBRO
-58.4717826,-34.5443635,CABILDO AV.,"4318",4318 CABILDO AV.,"-58,4717826","-34,54436350","12",SAAVEDRA,"161",V,"168",V,,,,,,,,,CORREA
-58.4724452,-34.5431698,CABILDO AV.,"4473",4473 CABILDO AV.,"-58,4724452","-34,54316980","13",NUÑEZ,"68",I,"161",I,,,,,,,,,RAMALLO
-58.4729815,-34.5424798,CABILDO AV.,"4571",4571 CABILDO AV.,"-58,4729815","-34,54247980","13",NUÑEZ,"168",I,"184",I,,,,,,,,,ARIAS
-58.4734199,-34.5421206,CABILDO AV.,"4650",4650 CABILDO AV.,"-58,4734199","-34,54212060","12",SAAVEDRA,"59",V,"60",V,,,,,,,,,DEHEZA
-58.4739978,-34.5413454,CABILDO AV.,"4710",4710 CABILDO AV.,"-58,4739978","-34,54134540","12",SAAVEDRA,"161",V,"168",V,,,,,,,,,PICO
-58.4755223,-34.53955,CABILDO AV.,"4994",4994 CABILDO AV.,"-58,4755223","-34,53955000","12",SAAVEDRA,"60",V,"168",V,,,,,,,,,GRAL PAZ
-58.3689363,-34.6164573,PASEO COLON AV.,"750",750 PASEO COLON AV.,"-58,3689363","-34,61645730","1",SAN TELMO,"29",I,"62",I,,,,,,,,,AV. INDEPENDENCIA
-58.3693002,-34.6117092,PASEO COLON AV.,"356",356 PASEO COLON AV.,"-58,3693002","-34,61170920","1",MONSERRAT,"62",I,"152",I,,,,,,,,,AV. BELGRANO
-58.3693295,-34.6114144,PASEO COLON AV.,"306",306 PASEO COLON AV.,"-58,3693295","-34,61141440","1",MONSERRAT,"33",V,"130",I,"143",V,,,,,,,AV. BELGRANO
-58.3693495,-34.6105316,PASEO COLON AV.,"216",216 PASEO COLON AV.,"-58,3693495","-34,61053160","1",MONSERRAT,"29",I,"64",I,"93",V,,,,,,,MORENO
-58.3693528,-34.6101311,PASEO COLON AV.,"200",200 PASEO COLON AVE,"-58,3693528","-34,61013110","1",MONSERRAT,"74",V,"159",V,,,,,,,,,MORENO
-58.369537,-34.609859,PASEO COLON AV.,"190",190 PASEO COLON AV.,"-58,369537","-34,60985900","1",MONSERRAT,"195",I,,,,,,,,,,,ALSINA
-58.3693607,-34.6096822,PASEO COLON AV.,"190",190 PASEO COLON AVE,"-58,3693607","-34,60968220","1",MONSERRAT,"195",V,,,,,,,,,,,ALSINA
-58.3695134,-34.6104797,PASEO COLON AV.,"239",239 PASEO COLON AV.,"-58,3695134","-34,61047970","1",MONSERRAT,"74",,"143",I,"159",I,,,,,,,MORENO
-58.3694991,-34.6109546,PASEO COLON AV.,"285",285 PASEO COLON AV.,"-58,3694991","-34,61095460","1",MONSERRAT,"8",,"33",I,"86",V,,,,,,,MORENO
-58.3694837,-34.6117146,PASEO COLON AV.,"329",329 PASEO COLON AV.,"-58,3694837","-34,61171460","1",MONSERRAT,"61",I,"111",V,"152",V,,,,,,,AV. BELGRANO
-58.3693588,-34.613906,PASEO COLON AV.,"523",523 PASEO COLON AV.,"-58,3693588","-34,61390600","1",MONSERRAT,"159",I,,,,,,,,,,,MEXICO
-58.3693111,-34.616419,PASEO COLON AV.,"725",725 PASEO COLON AV.,"-58,3693111","-34,61641900","1",MONSERRAT,"61",I,"152",V,,,,,,,,,AV. INDEPENDENCIA
-58.3731087,-34.5947224,LEANDRO N. ALEM AV.,"1112","1112 ALEM, LEANDRO N. AV.","-58,3731087","-34,59472240","1",PARQUE AVELLANEDA,"33",I,"7",I,"143",I,,,,,,,RICARDO ROJAS
-58.3728887,-34.59518,LEANDRO N. ALEM AV.,"1078","1078 ALEM, LEANDRO N. AV.","-58,3728887","-34,59518000","1",PARQUE AVELLANEDA,"91",I,"93",I,"130",V,,,,,,,MARCELO T. DE ALVEAR
-58.3725389,-34.5958736,LEANDRO N. ALEM AV.,"1012","1012 ALEM, LEANDRO N. AV.","-58,3725389","-34,59587360","1",PARQUE AVELLANEDA,"5",V,"9",I,"45",I,,,,,,,MARCELO T. DE ALVEAR
-58.3722368,-34.596542,LEANDRO N. ALEM AV.,"944","944 ALEM, LEANDRO N. AV.","-58,3722368","-34,59654200","1",RETIRO,"26",I,"132",V,,,,,,,,,PARAGUAY
-58.3720822,-34.5969102,LEANDRO N. ALEM AV.,"906","906 ALEM, LEANDRO N. AV.","-58,3720822","-34,59691020","1",RETIRO,"6",I,"23",V,"115",,,,,,,,PARAGUAY
-58.3717092,-34.5976011,LEANDRO N. ALEM AV.,"898","898 ALEM, LEANDRO N. AV.","-58,3717092","-34,59760110","1",PARQUE AVELLANEDA,"61",I,"152",V,,,,,,,,,AV. CORDOBA
-58.3715457,-34.5979038,LEANDRO N. ALEM AV.,"852","852 ALEM, LEANDRO N. AV.","-58,3715457","-34,59790380","1",RETIRO,"22",I,"28",,"126",I,,,,,,,AV. CORDOBA
-58.3713789,-34.5981797,LEANDRO N. ALEM AV.,"822","822 ALEM, LEANDRO N. AV.","-58,3713789","-34,59817970","1",RETIRO,"50",I,"56",I,,,,,,,,,AV. CORDOBA
-58.370493,-34.6014233,LEANDRO N. ALEM AV.,"592","592 ALEM, LEANDRO N. AV.","-58,370493","-34,60142330","1",RETIRO,"7",I,"33",I,"143",I,,,,,,,LAVALLE
-58.3704031,-34.6024004,LEANDRO N. ALEM AV.,"456","456 ALEM, LEANDRO N. AV.","-58,3704031","-34,60240040","1",SAN NICOLAS,"93",I,"130",V,,,,,,,,,AV. CORRIENTES
-58.3703658,-34.602796,LEANDRO N. ALEM AV.,"420","420 ALEM, LEANDRO N. AV.","-58,3703658","-34,60279600","1",SAN NICOLAS,"61",I,"152",V,,,,,,,,,AV. CORRIENTES
-58.3703454,-34.6034797,LEANDRO N. ALEM AV.,"380","380 ALEM, LEANDRO N. AV.","-58,3703454","-34,60347970","1",SAN NICOLAS,"28",I,"91",,"126",,,,,,,,SARMIENTO
-58.3702975,-34.6039958,LEANDRO N. ALEM AV.,"312","312 ALEM, LEANDRO N. AV.","-58,3702975","-34,60399580","1",SAN NICOLAS,"22",I,"50",I,"56",I,,,,,,,SARMIENTO
-58.3699948,-34.6049294,LEANDRO N. ALEM AV.,"233","233 ALEM, LEANDRO N. AV.","-58,3699948","-34,60492940","1",SAN NICOLAS,"22",V,"28",,"126",V,,,,,,,PERON
-58.370034,-34.6045729,LEANDRO N. ALEM AV.,"285","285 ALEM, LEANDRO N. AV.","-58,370034","-34,60457290","1",SAN NICOLAS,"7",V,"33",V,"143",V,,,,,,,PERON
-58.3701166,-34.6037172,LEANDRO N. ALEM AV.,"343","343 ALEM, LEANDRO N. AV.","-58,3701166","-34,60371720","1",SAN NICOLAS,"62",I,"93",,"130",,,,,,,,SARMIENTO
-58.3701474,-34.6033165,LEANDRO N. ALEM AV.,"379","379 ALEM, LEANDRO N. AV.","-58,3701474","-34,60331650","1",SAN NICOLAS,"56",V,"91",,"152",,,,,,,,SARMIENTO
-58.3706113,-34.6000747,LEANDRO N. ALEM AV.,"692","692 ALEM, LEANDRO N. AV.","-58,3706113","-34,60007470","1",BARRACAS,"6",,"26",V,"50",V,,,,,,,TUCUMAN
-58.3708354,-34.5991523,LEANDRO N. ALEM AV.,"769","769 ALEM, LEANDRO N. AV.","-58,3708354","-34,59915230","1",SAN NICOLAS,"93",V,"130",I,,,,,,,,,VIAMONTE
-58.3709321,-34.5987227,LEANDRO N. ALEM AV.,"771","771 ALEM, LEANDRO N. AV.","-58,3709321","-34,59872270","1",BARRACAS,"23",I,"115",V,,,,,,,,,VIAMONTE
-58.3712086,-34.5980735,LEANDRO N. ALEM AV.,"825","825 ALEM, LEANDRO N. AV.","-58,3712086","-34,59807350","1",BARRACAS,"62",I,"152",I,,,,,,,,,AV. CORDOBA
-58.3714231,-34.5976324,LEANDRO N. ALEM AV.,"887","887 ALEM, LEANDRO N. AV.","-58,3714231","-34,59763240","1",BARRACAS,"33",V,"143",V,,,,,,,,,AV. CORDOBA
-58.3715601,-34.5973563,LEANDRO N. ALEM AV.,"899","899 ALEM, LEANDRO N. AV.","-58,3715601","-34,59735630","1",RETIRO,"7",V,"22",V,,,,,,,,,AV. CORDOBA
-58.3718604,-34.59671,LEANDRO N. ALEM AV.,"945","945 ALEM, LEANDRO N. AV.","-58,3718604","-34,59671000","1",RETIRO,"28",V,"91",,"126",V,,,,,,,PARAGUAY
-58.3720495,-34.5963758,LEANDRO N. ALEM AV.,"1017","1017 ALEM, LEANDRO N. AV.","-58,3720495","-34,59637580","1",RETIRO,"56",V,"132",I,,,,,,,,,MARCELO T. DE ALVEAR
-58.467682,-34.61109,JUAN B. JUSTO AV.,,"4875 JUSTO, JUAN B. AV.","-58,467682","-34,61109000","11",SAAVEDRA,"166",I,"34",I,,,,,,,,,BOYACA
-58.4582385,-34.60418,JUAN B. JUSTO AV.,,"3975 JUSTO, JUAN B. AV.","-58,4582385","-34,60418000","15",VILLA GRAL MITRE,"166",I,"34",I,"110",,,,,,,,AV. SAN MARTIN
-58.4724213,-34.61432,JUAN B. JUSTO AV.,,"5322 JUSTO, JUAN B. AV.","-58,4724213","-34,61432000","11",VILLA CRESPO,"166",V,"34",V,,,,,,,,,ARTIGAS
-58.4547708,-34.56446,CABILDO AV.,"1842",1842 CABILDO AV.,"-58,4547708","-34,56446000","13",CHACARITA,"44",V,"63",I,"65",V,,,,,,,LA PAMPA
-58.4553646,-34.56339,CABILDO AV.,"1945",1945 CABILDO AV.,"-58,4553646","-34,56339000","13",BELGRANO,"41",I,"152",I,"59",I,,,,,,,SUCRE
-58.37055,-34.6002616,LEANDRO N. ALEM AV.,"555","Alem, Leandro N. Av. 555","-58,37055","-34,60026160","1",SAN NICOLAS,"195",V,,,,,,,,,,,LAVALLE
-58.4608631,-34.557004,CABILDO AV.,"2686",CABILDO AV.2686,"-58,4608631","-34,55700400","13",BELGRANO,"41",I,"60",I,,,,,,,,,ROOSEVELT
-58.4612061,-34.5565946,CABILDO AV.,"2783",2783 CABILDO AV.,"-58,4612061","-34,55659460","13",BELGRANO,"57",I,"194",I,,,,,,,,,UGARTE
-58.4759951,-34.5387657,CABILDO AV.,"5090",,"-58,4759951","-34,53876570","12",SAAVEDRA,"152",V,"161",V,,,,,,,,,PUENTE SAAVEDRA
-58.4755663,-34.538727,CABILDO AV.,"5000",CABILDO AV. 5000,"-58,4755663","-34,53872700","13",NUÑEZ,"68",,"133",I,"151",I,,,,,,,PUENTE SAAVEDRA
-58.4754503,-34.5389409,CABILDO AV.,"5000",CABILDO AV. 5000,"-58,4754503","-34,53894090","13",NUÑEZ,"21",,"59",I,"60",I,"168",,,,,,PUENTE SAAVEDRA
-58.4555204,-34.5632014,CABILDO AV.,"1971",CABILDO AV. 1971,"-58,4555204","-34,56320140","13",BELGRANO,"184",I,"168",I,"67",I,"63",V,,,,,SUCRE
-58.45524,-34.56356,CABILDO AV.,"1937",CABILDO AV. 1937,"-58,45524","-34,56356000","13",BELGRANO,"68",,"161",,,,,,,,,,SUCRE
-58.4549589,-34.5642664,CABILDO AV.,"1850",CABILDO AV. 1850,"-58,4549589","-34,56426640","13",BELGRANO,"80",I,"168",V,"184",V,,,,,,,LA PAMPA
-58.4528504,-34.5659335,CABILDO AV.,"1616",,"-58,4528504","-34,56593350","13",BELGRANO,"57",V,"194",V,,,,,,,,,VIRREY DEL PINO
-58.3705125,-34.60115,LEANDRO N. ALEM AV.,"550","Alem, Leandro N. Av. 550","-58,3705125","-34,60115000","1",SAN NICOLAS,"195",I,,,,,,,,,,,LAVALLE
-58.470688,-34.545645,CABILDO AV.,"4125",CABILDO AV. 4125,"-58,470688","-34,54564500","13",NUÑEZ,"161",I,"68",I,,,,,,,,,BESARES
-58.3689749,-34.6160662,PASEO COLON AV.,"728",,"-58,3689749","-34,61606620","1",SAN TELMO,"152",I,,,,,,,,,,,AV. INDEPENDENCIA
-58.5015198,-34.6324567,JUAN B. JUSTO AV.,"8060",JUAN B. JUSTO AV. 8060,"-58,5015198","-34,63245670","10",VILLA LURO,"166",V,"34",V,,,,,,,,,AV. LOPE DE VEGA
-58.5006301,-34.6319984,JUAN B. JUSTO AV.,"7931","79318 JUSTO, JUAN B. AV.","-58,5006301","-34,63199840","10",VELEZ SARFIELD,"99",V,"172",I,,,,,,,,,AV. LOPE DE VEGA
-58.3956603,-34.630281,BRASIL,"2204",BRASIL 2204,"-58,3956603","-34,63028100","4",PARQUE PATRICIOS,"6",V,"97",,,,,,,,,,GARRAHAN
-58.4596389,-34.604281,SAN MARTIN AV.,"2222",2222  SAN MARTIN AV.,"-58,4596389","-34,60428100","11",VILLA GRAL MITRE,"24",I,"57",V,"105",V,,,,,,,PAPPO NAPOLITANO
-58.3806478,-34.6264302,JUAN DE GARAY AV.,"1120",JUAN DE GARAY AV. 1120,"-58,3806478","-34,62643020","1",CONSTITUCION,"60",,,,,,,,,,,,CONSTITUCION
-58.4386626,-34.58959471,JUAN B. JUSTO AV.,"1953","JUSTO, JUAN B. AV. 1953","-58,4386626","-34,58959471","15",VILLA CRESPO,"166",I,"34",V,,,,,,,,,AV. CORDOBA
-58.4378938,-34.5881753,JUAN B. JUSTO AV.,"1824","JUSTO, JUAN B. AV. 1824","-58,4378938","-34,5881753","14",PALERMO,"166",V,"34",V,,,,,,,,,AV. CORDOBA
-58.441161,-34.571746,CABILDO AV.,"449",449 CABILDO AV.,"-58,441161","-34,57174600","14",PALERMO,"60",,"161",I,,,,,,,,,JORGE NEWBERY
-58.3807948,-34.6188088,BERNARDO DE IRIGOYEN,"970","970 IRIGOYEN, BERNARDO DE","-58,3807948","-34,61880880","1",CONSTITUCION,"59",V,"126",V,,,,,,,,,ESTADOS UNIDOS
-58.3809127,-34.6159881,BERNARDO DE IRIGOYEN,"664","664 IRIGOYEN, BERNARDO DE","-58,3809127","-34,61598810","1",MONSERRAT,"67",V,"98",,"28",,,,,,,,MEXICO
-58.3808917,-34.61449,BERNARDO DE IRIGOYEN,"580","580 IRIGOYEN, BERNARDO DE","-58,3808917","-34,61449000","1",MONSERRAT,"59",V,"126",V,,,,,,,,,VENEZUELA
-58.3811099,-34.60994,BERNARDO DE IRIGOYEN,"172","172 IRIGOYEN, BERNARDO DE","-58,3811099","-34,60994000","1",MONSERRAT,"67",V,"98",,"28",,,,,,,,YRIGOYEN
-58.3813248,-34.6104803,LIMA,"152",152 LIMA,"-58,3813248","-34,61048030","1",MONSERRAT,"67",I,"28",,,,,,,,,,YRIGOYEN
-58.3811351,-34.6149718,LIMA,"572",572 LIMA,"-58,3811351","-34,61497180","1",MONSERRAT,"59",,,,,,,,,,,,VENEZUELA
-58.3810865,-34.6160023,LIMA,"628",628 LIMA,"-58,3810865","-34,61600230","1",MONSERRAT,"67",,"28",,,,,,,,,,MEXICO
-58.3809584,-34.61945,LIMA,"948",948 LIMA,"-58,3809584","-34,61945000","1",CONSTITUCION,"59",,,,,,,,,,,,ESTADOS UNIDOS
-58.3690585,-34.6154855,PASEO COLON AV.,"630",630 PASEO COLON AV.,"-58,3690585","-34,61548550","1",SAN TELMO,"33",V,"143",V,"129",V,,,,,,,CHILE
-58.3691053,-34.6150389,PASEO COLON AV.,"610",610 PASEO COLON AVE,"-58,3691053","-34,61503890","1",MONSERRAT,"64",I,"130",I,"22",V,,,,,,,CHILE
-58.3691248,-34.6143446,PASEO COLON AV.,"584",584 PASEO COLON AVE,"-58,3691248","-34,61434460","1",MONSERRAT,"74",V,"93",V,"24",V,"126",V,,,,,MEXICO
-58.3691672,-34.6138616,PASEO COLON AV.,"524",524 PASEO COLON AV.,"-58,3691672","-34,61386160","1",MONSERRAT,"159",V,"8",I,"86",I,,,,,,,MEXICO
-58.3694549,-34.6120453,PASEO COLON AV.,"355",355 PASEO COLON AV.,"-58,3694549","-34,61204530","1",MONSERRAT,"64",,"93",I,"130",V,"29",V,,,,,AV. BELGRANO
-58.3693243,-34.614499,PASEO COLON AV.,"567",567 PASEO COLON AV.,"-58,3693243","-34,61449900","1",MONSERRAT,"33",I,"143",I,"129",I,,,,,,,MEXICO
-58.3692885,-34.6152798,PASEO COLON AV.,"667",667 PASEO COLON AV.,"-58,3692885","-34,61527980","1",MONSERRAT,"8",V,"86",V,"22",I,,,,,,,CHILE
-58.3692747,-34.6155726,PASEO COLON AV.,"669",669 PASEO COLON AV.,"-58,3692747","-34,61557260","1",MONSERRAT,"74",I,"93",I,"24",I,"126",I,,,,,CHILE
-58.3693066,-34.6168527,PASEO COLON AV.,"797",797 PASEO COLON AV.,"-58,3693066","-34,61685270","1",SAN TELMO,"64",V,"130",V,"29",V,,,,,,,AV. INDEPENDENCIA
-58.3816512,-34.60571,CERRITO,"251",251 CERRITO,"-58,3816512","-34,60571000","1",SAN NICOLAS,"9",V,"67",I,"28",,,,,,,,OBELSCO SUR
-58.3815296,-34.6070578,CERRITO,"135",135 CERRITO,"-58,3815296","-34,60705780","1",SAN NICOLAS,"100",,"39",I,"91",,,,,,,,PERON
-58.3814746,-34.6082339,CERRITO,"21",21 CERRITO,"-58,3814746","-34,60823390","1",SAN NICOLAS,"59",I,"126",I,,,,,,,,,MITRE
-58.368488,-34.618793,PASEO COLON AV.,"920",920 PASEO COLON AV.,"-58,368488","-34,61879300","1",SAN TELMO,"8",I,"86",I,"159",V,,,,,,,
-58.368473,-34.618932,PASEO COLON AV.,"950",950 PASEO COLON AV.,"-58,368473","-34,61893200","1",SAN TELMO,"195",V,,,,,,,,,,,
-58.36909416,-34.61860406,PASEO COLON AV.,"921",921 PASEO COLON AV.,"-58,36909416","-34,61860406","1",SAN TELMO,"33",I,"129",I,,,,,,,,,
-58.369056,-34.618793,PASEO COLON AV.,"951",951 PASEO COLON AV.,"-58,369056","-34,61879300","1",SAN TELMO,"195",I,,,,,,,,,,,
-58.368401,-34.619681,PASEO COLON AV.,"1020",1020 PASEO COLON AV.,"-58,368401","-34,61968100","1",SAN TELMO,"143",V,"62",I,"29",I,,,,,,,
-58.368366,-34.620018,PASEO COLON AV.,"1050",1050 PASEO COLON AV.,"-58,368366","-34,62001800","1",SAN TELMO,"130",I,"24",V,"22",I,,,,,,,
-58.368693,-34.619687,PASEO COLON AV.,"1021",1021 PASEO COLON AV.,"-58,368693","-34,61968700","1",SAN TELMO,"143",I,"159",I,,,,,,,,,
-58.368607,-34.620001,PASEO COLON AV.,"1051",1051 PASEO COLON AV.,"-58,368607","-34,62000100","1",SAN TELMO,"8",V,"22",V,"86",V,,,,,,,
-58.368618,-34.620159,PASEO COLON AV.,"1071",1071 PASEO COLON AV.,"-58,368618","-34,62015900","1",SAN TELMO,"24",V,"74",I,"93",I,,,,,,,
-58.368253,-34.620875,PASEO COLON AV.,"1120",1120 PASEO COLON AV.,"-58,368253","-34,62087500","1",SAN TELMO,"93",V,"74",V,"33",V,,,,,,,
-58.368242,-34.621113,PASEO COLON AV.,"1150",1150 PASEO COLON AV.,"-58,368242","-34,62111300","1",SAN TELMO,"64",I,"129",V,"152",I,"126",V,,,,,
-58.368462,-34.620861,PASEO COLON AV.,"1121",1121 PASEO COLON AV.,"-58,368462","-34,62086100","1",SAN TELMO,"61",I,"152",V,,,,,,,,,
-58.368441,-34.621135,PASEO COLON AV.,"1151",1151 PASEO COLON AV.,"-58,368441","-34,62113500","1",SAN TELMO,"29",V,"64",V,"130",V,,,,,,,
-58.368269,-34.623356,PASEO COLON AV.,"1351",1351 PASEO COLON AV.,"-58,368269","-34,62335600","1",SAN TELMO,"33",I,"129",I,,,,,,,,,
-58.367713,-34.624305,PASEO COLON AV.,"1420",1420 PASEO COLON AV.,"-58,367713","-34,62430500","1",SAN TELMO,"143",V,"62",I,"29",I,,,,,,,
-58.36774152,-34.62469791,PASEO COLON AV.,"1450",1450 PASEO COLON AV.,"-58,36774152","-34,62469791","1",SAN TELMO,"24",V,"22",I,"4",,,,,,,,
